app_name,user_name,rating,review,thumbs_up,date,casefolded_review
Duolingo,Airin Rachmi afifa,5,duolingo mengajariku bahasa Jepang sekarang aku sudah paham bahasa Jepang 😀😀😀😀😀,0,10/10/2025,duolingo mengajariku bahasa jepang sekarang aku sudah paham bahasa jepang 😀😀😀😀😀
Duolingo,Eni Khanifah,5,"bagus,bisa untuk belajarr",0,10/10/2025,"bagus,bisa untuk belajarr"
Duolingo,Elin Malindo,5,"sangat melatih, aplikasinya juga bagus",0,10/10/2025,"sangat melatih, aplikasinya juga bagus"
Duolingo,Atung Theboyss,5,sangat seru terasa bermain tapi menambah ilmu aku sukaaaaa bangettt!!,0,10/10/2025,sangat seru terasa bermain tapi menambah ilmu aku sukaaaaa bangettt!!
Duolingo,Zaky muhammad,5,cara mudah belajar bahasa sangat mantap,0,10/10/2025,cara mudah belajar bahasa sangat mantap
Duolingo,Erina Fransiska Putri,5,sangat bagus,0,10/10/2025,sangat bagus
Duolingo,Zzoelfa _st,3,kalau salah tolong dijelaskan🙏🙏,0,10/10/2025,kalau salah tolong dijelaskan🙏🙏
Duolingo,Yuuka,5,bagus jir jadi tau enggres gw🗿,0,10/10/2025,bagus jir jadi tau enggres gw🗿
Duolingo,Thio Cuilay,5,Bagus,0,10/10/2025,bagus
Duolingo,Had_Sims,4,gampang tapi belum tentu bisa fluent bahasa lain,0,10/10/2025,gampang tapi belum tentu bisa fluent bahasa lain
Duolingo,Roro Joro,5,mantap sekarang gua bisa translator,0,10/10/2025,mantap sekarang gua bisa translator
Duolingo,Rahmat Senpaiii,5,"Behh asli buat yang masih pemula atau udh pro wajib download ini, sangat membantu ini, klau bisa tambahkan Mabar sama teman",0,10/10/2025,"behh asli buat yang masih pemula atau udh pro wajib download ini, sangat membantu ini, klau bisa tambahkan mabar sama teman"
Duolingo,Sigit Putra Swara,5,aplikasinya baik sekal,0,10/10/2025,aplikasinya baik sekal
Duolingo,Almeeranur Chayra,5,"karena lebih mudah untuk belajar bahasa terutama bahasa inggris dan juga Duolingo menyenangkan,seru,asik,menambah ilmu berbahasa kepada orang di luar negeri mau pun di asia,maupu di eropa",0,10/10/2025,"karena lebih mudah untuk belajar bahasa terutama bahasa inggris dan juga duolingo menyenangkan,seru,asik,menambah ilmu berbahasa kepada orang di luar negeri mau pun di asia,maupu di eropa"
Duolingo,Aghits Agul,5,"aplikasi bagus buat belajar bahasa, terutama bahasa Inggris, rekomendasi buat kalian kaum mager nih wkwkkw",0,10/10/2025,"aplikasi bagus buat belajar bahasa, terutama bahasa inggris, rekomendasi buat kalian kaum mager nih wkwkkw"
Duolingo,Evy Usmalani Usmalani,5,bagus bangettt aplikasi nya dan ada kata kata gramer juga soalnya saya butuh. belajar kata kata dan gramer dan melatih motorik juga👍,0,10/10/2025,bagus bangettt aplikasinya dan ada kata kata gramer juga soalnya saya butuh. belajar kata kata dan gramer dan melatih motorik juga👍
