app_name,user_name,rating,review,thumbs_up,date,casefolded_review,tokenize_review,review_tanpa_tanda_baca,review_tanpa_spasi,normalized_review,review_tanpa_stopwords,stemmed_review,cleaned_review
Duolingo,Airin Rachmi afifa,5,duolingo mengajariku bahasa Jepang sekarang aku sudah paham bahasa Jepang 😀😀😀😀😀,0,10/10/2025,duolingo mengajariku bahasa jepang sekarang aku sudah paham bahasa jepang 😀😀😀😀😀,"['duolingo', 'mengajariku', 'bahasa', 'jepang', 'sekarang', 'aku', 'sudah', 'paham', 'bahasa', 'jepang', '😀😀😀😀😀']","['duolingo', 'mengajariku', 'bahasa', 'jepang', 'sekarang', 'aku', 'sudah', 'paham', 'bahasa', 'jepang', '😀😀😀😀😀']","['duolingo', 'mengajariku', 'bahasa', 'jepang', 'sekarang', 'aku', 'sudah', 'paham', 'bahasa', 'jepang', '😀😀😀😀😀']","['duolingo', 'mengajariku', 'bahasa', 'jepang', 'sekarang', 'aku', 'sudah', 'paham', 'bahasa', 'jepang', '😀😀😀😀😀']","['duolingo', 'mengajariku', 'bahasa', 'jepang', 'paham', 'bahasa', 'jepang', '😀😀😀😀😀']","['duolingo', 'ajar', 'bahasa', 'jepang', 'paham', 'bahasa', 'jepang', '']","['ajar', 'bahasa', 'jepang', 'paham', 'bahasa', 'jepang']"
Duolingo,Eni Khanifah,5,"bagus,bisa untuk belajarr",0,10/10/2025,"bagus,bisa untuk belajarr","['bagus', ',', 'bisa', 'untuk', 'belajarr']","['bagus', '', 'bisa', 'untuk', 'belajarr']","['bagus', '', 'bisa', 'untuk', 'belajarr']","['bagus', '', 'bisa', 'untuk', 'belajar']","['bagus', '', 'belajar']","['bagus', '', 'ajar']","['bagus', 'ajar']"
Duolingo,Elin Malindo,5,"sangat melatih, aplikasinya juga bagus",0,10/10/2025,"sangat melatih, aplikasinya juga bagus","['sangat', 'melatih', ',', 'aplikasinya', 'juga', 'bagus']","['sangat', 'melatih', '', 'aplikasinya', 'juga', 'bagus']","['sangat', 'melatih', '', 'aplikasinya', 'juga', 'bagus']","['sangat', 'melatih', '', 'aplikasi', 'juga', 'bagus']","['melatih', '', 'aplikasi', 'bagus']","['latih', '', 'aplikasi', 'bagus']","['latih', 'aplikasi', 'bagus']"
Duolingo,Atung Theboyss,5,sangat seru terasa bermain tapi menambah ilmu aku sukaaaaa bangettt!!,0,10/10/2025,sangat seru terasa bermain tapi menambah ilmu aku sukaaaaa bangettt!!,"['sangat', 'seru', 'terasa', 'bermain', 'tapi', 'menambah', 'ilmu', 'aku', 'sukaaaaa', 'bangettt', '!', '!']","['sangat', 'seru', 'terasa', 'bermain', 'tapi', 'menambah', 'ilmu', 'aku', 'sukaaaaa', 'bangettt', '', '']","['sangat', 'seru', 'terasa', 'bermain', 'tapi', 'menambah', 'ilmu', 'aku', 'sukaaaaa', 'bangettt', '', '']","['sangat', 'seru', 'terasa', 'bermain', 'tapi', 'menambah', 'ilmu', 'aku', 'suka', 'banget', '', '']","['seru', 'bermain', 'menambah', 'ilmu', 'suka', 'banget', '', '']","['seru', 'main', 'tambah', 'ilmu', 'suka', 'banget', '', '']","['seru', 'main', 'tambah', 'ilmu', 'suka', 'banget']"
Duolingo,Zaky muhammad,5,cara mudah belajar bahasa sangat mantap,0,10/10/2025,cara mudah belajar bahasa sangat mantap,"['cara', 'mudah', 'belajar', 'bahasa', 'sangat', 'mantap']","['cara', 'mudah', 'belajar', 'bahasa', 'sangat', 'mantap']","['cara', 'mudah', 'belajar', 'bahasa', 'sangat', 'mantap']","['cara', 'mudah', 'belajar', 'bahasa', 'sangat', 'mantap']","['mudah', 'belajar', 'bahasa', 'mantap']","['mudah', 'ajar', 'bahasa', 'mantap']","['mudah', 'ajar', 'bahasa', 'mantap']"
Duolingo,Erina Fransiska Putri,5,sangat bagus,0,10/10/2025,sangat bagus,"['sangat', 'bagus']","['sangat', 'bagus']","['sangat', 'bagus']","['sangat', 'bagus']",['bagus'],['bagus'],['bagus']
Duolingo,Zzoelfa _st,3,kalau salah tolong dijelaskan🙏🙏,0,10/10/2025,kalau salah tolong dijelaskan🙏🙏,"['kalau', 'salah', 'tolong', 'dijelaskan🙏🙏']","['kalau', 'salah', 'tolong', 'dijelaskan🙏🙏']","['kalau', 'salah', 'tolong', 'dijelaskan🙏🙏']","['kalau', 'salah', 'tolong', 'dijelaskan🙏🙏']","['salah', 'tolong', 'dijelaskan🙏🙏']","['salah', 'tolong', 'jelas']","['salah', 'tolong', 'jelas']"
Duolingo,Yuuka,5,bagus jir jadi tau enggres gw🗿,0,10/10/2025,bagus jir jadi tau enggres gw🗿,"['bagus', 'jir', 'jadi', 'tau', 'enggres', 'gw🗿']","['bagus', 'jir', 'jadi', 'tau', 'enggres', 'gw🗿']","['bagus', 'jir', 'jadi', 'tau', 'enggres', 'gw🗿']","['bagus', 'jir', 'jadi', 'tau', 'inggris', 'gw🗿']","['bagus', 'jir', 'tau', 'inggris', 'gw🗿']","['bagus', 'jir', 'tau', 'inggris', 'gw']","['bagus', 'tau', 'inggris']"
Duolingo,Thio Cuilay,5,Bagus,0,10/10/2025,bagus,['bagus'],['bagus'],['bagus'],['bagus'],['bagus'],['bagus'],['bagus']
Duolingo,Had_Sims,4,gampang tapi belum tentu bisa fluent bahasa lain,0,10/10/2025,gampang tapi belum tentu bisa fluent bahasa lain,"['gampang', 'tapi', 'belum', 'tentu', 'bisa', 'fluent', 'bahasa', 'lain']","['gampang', 'tapi', 'belum', 'tentu', 'bisa', 'fluent', 'bahasa', 'lain']","['gampang', 'tapi', 'belum', 'tentu', 'bisa', 'fluent', 'bahasa', 'lain']","['gampang', 'tapi', 'belum', 'tentu', 'bisa', 'fluent', 'bahasa', 'lain']","['gampang', 'fluent', 'bahasa']","['gampang', 'fluent', 'bahasa']","['gampang', 'fluent', 'bahasa']"
