app_name,rating,review,preprocessed_text
Duolingo,5,duolingo mengajariku bahasa Jepang sekarang aku sudah paham bahasa Jepang 😀😀😀😀😀,ajar bahasa jepang paham bahasa jepang
Duolingo,5,"bagus,bisa untuk belajarr",bagus ajar
Duolingo,5,"sangat melatih, aplikasinya juga bagus",latih aplikasi bagus
Duolingo,5,sangat seru terasa bermain tapi menambah ilmu aku sukaaaaa bangettt!!,seru main tambah ilmu suka banget
Duolingo,5,cara mudah belajar bahasa sangat mantap,mudah ajar bahasa mantap
Duolingo,5,sangat bagus,bagus
Duolingo,3,kalau salah tolong dijelaskan🙏🙏,salah tolong jelas
Duolingo,5,bagus jir jadi tau enggres gw🗿,bagus tau inggris
Duolingo,5,Bagus,bagus
Duolingo,4,gampang tapi belum tentu bisa fluent bahasa lain,gampang fluent bahasa
Duolingo,5,mantap sekarang gua bisa translator,mantap translator
Duolingo,5,"Behh asli buat yang masih pemula atau udh pro wajib download ini, sangat membantu ini, klau bisa tambahkan Mabar sama teman",behh asli mula pro wajib download bantu tambah mabar teman
Duolingo,5,aplikasinya baik sekal,aplikasi
Duolingo,5,"karena lebih mudah untuk belajar bahasa terutama bahasa inggris dan juga Duolingo menyenangkan,seru,asik,menambah ilmu berbahasa kepada orang di luar negeri mau pun di asia,maupu di eropa",mudah ajar bahasa bahasa inggris senang seru asik tambah ilmu bahasa orang negeri asia maupu eropa
Duolingo,5,"aplikasi bagus buat belajar bahasa, terutama bahasa Inggris, rekomendasi buat kalian kaum mager nih wkwkkw",aplikasi bagus ajar bahasa bahasa inggris rekomendasi kaum mager wkwkkw
Duolingo,5,bagus bangettt aplikasi nya dan ada kata kata gramer juga soalnya saya butuh. belajar kata kata dan gramer dan melatih motorik juga👍,bagus banget aplikasi gramer butuh ajar gramer latih motorik juga
Duolingo,5,MEMBANTU MELANCARKAN BAHASA INGGRIS BAGI PEMULA AKU SUKA APLIKASI INI🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,bantu lancar bahasa inggris mula suka aplikasi ini
Duolingo,4,gatau belum download,gatau download
Duolingo,5,"apk nya bisa buat belajar berbagai bhs, saya suka belajar bahasa inggris, jepang, korea, dan china🤭",aplikasi ajar bahasa suka ajar bahasa inggris jepang korea china
Duolingo,5,bagus aky jadi makin pinter bahasa ingris yay,bagus pintar bahasa ingris yay
Duolingo,5,kerenn sekali,keren
Duolingo,5,bagus,bagus
Duolingo,5,sangat membantu saya dalam belajar bahasa Inggris,bantu ajar bahasa inggris
Duolingo,5,sangat seru untuk belajar sambil bermain☺️,seru ajar main
Duolingo,5,membantu belajar inggris,bantu ajar inggris
Duolingo,5,mantap bagus banget untuk belajar,mantap bagus banget ajar
Duolingo,5,sangat baik,
Duolingo,5,makasih dulingo aku kelas 3 SMP sudah agak bisa bahasa jepang 👍👍👍😁,makasih dulingo kelas smp bahasa jepang
Duolingo,5,sangat cocok untuk belajar bahasa inggris👍👍,cocok ajar bahasa inggris
Duolingo,5,"keren sekalii,mudah dipahami, timaaciw duolingo",keren mudah paham makasih
Duolingo,2,"belajarnya terlalu nyantai, itu² aja.",ajar nyantai itu
Duolingo,5,baguss dan iklan nya dikit makasih duooo🫶🫶🫶🫶🫶,bagus iklan dikit makasih duooo
Duolingo,5,bagus sangat membantu saya belajar bahasa inggris,bagus bantu ajar bahasa inggris
Duolingo,5,sangat membantu pertahankan😁😁,bantu tahan
Duolingo,5,Bagus bangett,bagus banget
Duolingo,2,"perbaiki duolingo saya! saat menyelesaikan pelajaran tidak ada suaranya, perbaiki SECEPATNYA!",baik selesai ajar suara baik cepat
Duolingo,1,aplikasi untuk membantu belajar dengan unsur iklan judi online yang sangat mantap. mengajarkan kelebihan dari melakukan judi online melalui iklan yang ada dalam aplikasi,aplikasi bantu ajar unsur iklan judi online mantap ajar lebih judi online iklan aplikasi
Duolingo,5,menyenangkan dan mudah,senang mudah
Duolingo,5,karena aku jadi bisa bahasa inggris. n. a. n a. b.,keren bahasa inggris
Duolingo,5,bagus aplikasi nya,bagus aplikasi
Duolingo,4,"keren dan aku jadi jago bahasa, tapi tolong bisa di jadiin bahasa Indonesia gak soalnya aku pengen belajar bahasa China tapi tulisan yang di suruh nya bahasa Inggris",keren jago bahasa tolong jadi bahasa indonesia ken ajar bahasa china tulis suruh bahasa inggris
Duolingo,5,cukup baik,
Duolingo,5,saya sangat menyukai aplikasi ini,suka aplikasi
Duolingo,5,sangat bermanfaat buat yang mau belajar bahasa,manfaat ajar bahasa
Duolingo,5,seru banget,seru banget
Duolingo,5,sangat seru jadi semangat belajar deh,seru semangat ajar
Duolingo,5,aplikasi sungguh bagus dan saya pendapat kan limu,aplikasi sungguh bagus dapat limu
Duolingo,5,bagus bangettt ak jadi bisa ngerjain tugas tanpa pakai bukuu👍💪,bagus banget ngerjain tugas pakai bukuu
Duolingo,5,"Seru!, aplikasi ini membuat saya bisa berbahasa China🗿😭💀😏",seru aplikasi bahasa china
Duolingo,5,"wow keren banget bisa belajar bahasa mendengar dan berbicara menulis, itu sa ngat keren aku harap bisa belajar bahasa Jepang dengan mudah😊",wow keren banget ajar bahasa dengar bicara tulis keren harap ajar bahasa jepang mudah
Duolingo,5,bagus untuk pendidikan atau sekolah,bagus didik sekolah
Duolingo,5,bagus dan membuat cepat belajar bahasa Inggris,bagus cepat ajar bahasa inggris
Duolingo,5,aku jadi bisa belajar bahasa asing tanpa membayar,ajar bahasa asing bayar
Duolingo,5,bagus,bagus
Duolingo,5,bisa membantu anda untuk belajar bahasa dan bisa mengetahui banyak hal,bantu ajar bahasa
Duolingo,5,jadi saya sudah mulai bahasa Spanyol,bahasa spanyol
Duolingo,5,aplikasi nya bagus banget membantu banget buat belajar bahasa,aplikasi bagus banget bantu banget ajar bahasa
Duolingo,5,aplikasinya bagus saya bisa belajar banyak bahasa dan ada juga kursus musik dan matematika Bintang 5 lah untuk duolingo,aplikasi bagus ajar bahasa kursus musik matematika bintang
Duolingo,5,kita bisa belajar bersama disini dengan asyik seru dan mudah memahaminyaaaa saya sangattt suka dengan aplikasi ini ayooo yang mau belajarrr disini aja,ajar asik seru mudah paham suka aplikasi ayo ajar
Duolingo,5,mksy bantuannya duo :) lanjut setelah target pertama ak mw bljr bi arab :D,makasih bantu duo target ajar arab
Duolingo,5,mudah di pahami,mudah paham
Duolingo,5,duolingo menyenangkan,senang
Duolingo,5,ini bisa untuk menglatih anak belajar,menglatih anak ajar
Duolingo,4,mana kelas caturnya?,kelas catur
Duolingo,5,waww ini aplikasi baguss aku suka belajar disini dan seruuu,waww aplikasi bagus suka ajar seru
Duolingo,2,seru dan bisa bikin saya lancar bahasa Inggris seperti hari monday tuesday Wednesday tursday Saturday Sunday saya suka duolingo,seru bikin lancar bahasa inggris monday tuesday wednesday tursday saturday sunday suka
Duolingo,5,puas bgt belajar di sini keren belajar sambil bermain,puas banget ajar keren ajar main
Duolingo,5,aku baru belajar 2 hari dan langsung tau bahasa sehari hari!!,ajar langsung tau bahasa hari
Duolingo,4,sangat baik dan sangat membantu tapi yang paling bikin sebel kalo pas lagi belajar harus ngisi energi,bantu bikin sebel kalo sesuai ajar ngisi energi
Duolingo,4,bagus tapi agak susah,bagus susah
Duolingo,4,bagus aku suka,bagus suka
Duolingo,5,aplikasi nya aku suka dan bisa aku semangat,aplikasi suka semangat
Duolingo,1,game ini sangat seru dan membuat saya di sekolah peringkat dua,game seru sekolah peringkat
Duolingo,5,"Bagus bisa belajar sesuai apa yg kita mau belajar seperti bahasa inggris , korea dll.",bagus ajar sesuai ajar bahasa inggris korea dll
Duolingo,1,sebenernya suka sama aplikasinya tapi karena ini aplikasi support LGBT saya kasih bintang 1. SAYA MENERIMA PERBEDAAN BUKAN PENYIMPANGAN!!!!!,sebenernya suka aplikasi aplikasi support lgbt kasih bintang terima beda simpang
Duolingo,5,baik dalam menambah wawasan,tambah wawas
Duolingo,5,SERUUUU,seru
