app_name,rating,review,preprocessed_text,Label
Duolingo,5,duolingo mengajariku bahasa Jepang sekarang aku sudah paham bahasa Jepang ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€,ajar bahasa jepang paham bahasa jepang,Positif
Duolingo,5,"bagus,bisa untuk belajarr",bagus ajar,Positif
Duolingo,5,"sangat melatih, aplikasinya juga bagus",latih aplikasi bagus,Positif
Duolingo,5,sangat seru terasa bermain tapi menambah ilmu aku sukaaaaa bangettt!!,seru main tambah ilmu suka banget,Positif
Duolingo,5,cara mudah belajar bahasa sangat mantap,mudah ajar bahasa mantap,Positif
Duolingo,5,sangat bagus,bagus,Positif
Duolingo,5,"Behh asli buat yang masih pemula atau udh pro wajib download ini, sangat membantu ini, klau bisa tambahkan Mabar sama teman",behh asli mula pro wajib download bantu tambah mabar teman,Positif
Duolingo,5,"karena lebih mudah untuk belajar bahasa terutama bahasa inggris dan juga Duolingo menyenangkan,seru,asik,menambah ilmu berbahasa kepada orang di luar negeri mau pun di asia,maupu di eropa",mudah ajar bahasa bahasa inggris senang seru asik tambah ilmu bahasa orang negeri asia maupu eropa,Positif
Duolingo,5,"aplikasi bagus buat belajar bahasa, terutama bahasa Inggris, rekomendasi buat kalian kaum mager nih wkwkkw",aplikasi bagus ajar bahasa bahasa inggris rekomendasi kaum mager wkwkkw,Positif
Duolingo,5,bagus bangettt aplikasi nya dan ada kata kata gramer juga soalnya saya butuh. belajar kata kata dan gramer dan melatih motorik jugaðŸ‘,bagus banget aplikasi gramer butuh ajar gramer latih motorik juga,Positif
Duolingo,5,MEMBANTU MELANCARKAN BAHASA INGGRIS BAGI PEMULA AKU SUKA APLIKASI INIðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°,bantu lancar bahasa inggris mula suka aplikasi ini,Positif
Duolingo,5,"apk nya bisa buat belajar berbagai bhs, saya suka belajar bahasa inggris, jepang, korea, dan chinaðŸ¤­",aplikasi ajar bahasa suka ajar bahasa inggris jepang korea china,Positif
Duolingo,5,kerenn sekali,keren,Positif
Duolingo,5,bagus,bagus,Positif
Duolingo,5,sangat membantu saya dalam belajar bahasa Inggris,bantu ajar bahasa inggris,Positif
Duolingo,5,sangat seru untuk belajar sambil bermainâ˜ºï¸,seru ajar main,Positif
Duolingo,5,membantu belajar inggris,bantu ajar inggris,Positif
Duolingo,5,mantap bagus banget untuk belajar,mantap bagus banget ajar,Positif
Duolingo,4,"mudah dimengerti, harus berlangganan",mudah erti langgan,Positif
Duolingo,4,ini bagus untuk belajar,bagus ajar,Positif
Duolingo,5,"berkat apk ini saya bisa belajar bahasa inggris dengan gampang,,mkss duolingo lovee youu",berkat aplikasi ajar bahasa inggris gampang makasih lovee youu,Positif
Duolingo,5,bagus bangett pinter lama lama yang main,bagus banget pintar main,Positif
Duolingo,5,"pelajaranya ga bikin bosen, pokoknya seru deh makanya aku kasih rating 5",pelajaranya bikin bosen pokok seru kasih rating,Positif
Duolingo,5,suka banget,suka banget,Positif
Duolingo,5,bagusss bangett untuk pemulaa,bagus banget pemulaa,Positif
Duolingo,5,aplikasinya sesuai sama kebutuhan pokoknya the best dehh ðŸ˜ðŸ˜,aplikasi sesuai butuh pokok the best dehh,Positif
Duolingo,5,"saya sangat senang rasanya tidak menyesal karena aplikasi ini sangat lah bermanfaat,dari yang awalnya tidak tahu arti nya cara baca nya sekarang sudah bisa semuanya , terimakasih duolingo saya jadi semangat belajar bahasa asing intinya terimakasih sebanyak banyak nya",senang sesal aplikasi manfaat baca terimakasih semangat ajar bahasa asing inti terimakasih banyak,Positif
Duolingo,4,sangat berguna,guna,Positif
Duolingo,5,"apk nih bagus banget untuk orang yang baru belajar bahasa,dan ini tersedia bahasa apapun itu,aku baru 3 hari belajar bahasa inggris tapi udah banya banget vocabulary yang aku tau, pokoknya bagus banget dew sukaaaa ðŸ˜ðŸ«°ðŸ»",aplikasi bagus banget orang ajar bahasa sedia bahasa ajar bahasa inggris banget vocabulary tau pokok bagus banget dew sukaaaa,Positif
Duolingo,5,bisa membuat ku belajar jadi cepat dan mudah paham,ajar cepat mudah paham,Positif
Duolingo,5,game ini sangat membantu saya untuk belajar bahasa inggris saya menemukan kata yang baru saya merekomendasikan game ini untuk yang mau belajar bahasa Inggris,game bantu ajar bahasa inggris temu rekomendasi game ajar bahasa inggris,Positif
Duolingo,5,berguna. is really easy,guna really easy,Positif
Busuu,5,"cocok buat pemula yang ingin belajar bahasa Inggris, mudah di pahami Rekomendasi banget",cocok mula ajar bahasa inggris mudah paham rekomendasi banget,Positif
Busuu,5,sangat bagus aplikasi nya,bagus aplikasi,Positif
Busuu,5,aplikasi ini sangat berguna apalagi saya pelajar ingin sekali bahasa Jepang ðŸ‘ðŸ‘ðŸ‘,aplikasi guna ajar bahasa jepang,Positif
Busuu,5,aplikasinya kren,aplikasi keren,Positif
Busuu,5,keren buanget,keren banget,Positif
Busuu,5,saya bisa mempelajari bahasa Inggris lebih dalam.,ajar bahasa inggris,Positif
Busuu,5,sangat bagus untuk di pelajari,bagus ajar,Positif
Busuu,5,mantapp.. saya sangat suka,mantapp suka,Positif
Busuu,5,lumayan ngisi waktu luang,lumayan ngisi luang,Positif
