app_name,rating,review,preprocessed_text,tf-idf_Logistic Regression,transformers_sentiment
Duolingo,5,bagus jir jadi tau enggres gwðŸ—¿,bagus tau inggris,Positif,Negatif
Duolingo,5,Bagus,bagus,Positif,Negatif
Duolingo,5,mantap sekarang gua bisa translator,mantap translator,Negatif,Negatif
Duolingo,5,aplikasinya baik sekal,aplikasi,Negatif,Positif
Duolingo,5,bagus aky jadi makin pinter bahasa ingris yay,bagus pintar bahasa ingris yay,Positif,Negatif
Duolingo,5,makasih dulingo aku kelas 3 SMP sudah agak bisa bahasa jepang ðŸ‘ðŸ‘ðŸ‘ðŸ˜,makasih dulingo kelas smp bahasa jepang,Positif,Negatif
Duolingo,5,sangat cocok untuk belajar bahasa inggrisðŸ‘ðŸ‘,cocok ajar bahasa inggris,Positif,Negatif
Duolingo,5,"keren sekalii,mudah dipahami, timaaciw duolingo",keren mudah paham makasih,Positif,Negatif
Duolingo,5,baguss dan iklan nya dikit makasih duoooðŸ«¶ðŸ«¶ðŸ«¶ðŸ«¶ðŸ«¶,bagus iklan dikit makasih duooo,Negatif,Negatif
Duolingo,5,bagus sangat membantu saya belajar bahasa inggris,bagus bantu ajar bahasa inggris,Positif,Negatif
Duolingo,5,sangat membantu pertahankanðŸ˜ðŸ˜,bantu tahan,Positif,Negatif
Duolingo,5,Bagus bangett,bagus banget,Positif,Negatif
Duolingo,5,menyenangkan dan mudah,senang mudah,Positif,Negatif
Duolingo,5,karena aku jadi bisa bahasa inggris. n. a. n a. b.,keren bahasa inggris,Positif,Positif
Duolingo,5,bagus aplikasi nya,bagus aplikasi,Positif,Negatif
Duolingo,4,"keren dan aku jadi jago bahasa, tapi tolong bisa di jadiin bahasa Indonesia gak soalnya aku pengen belajar bahasa China tapi tulisan yang di suruh nya bahasa Inggris",keren jago bahasa tolong jadi bahasa indonesia ken ajar bahasa china tulis suruh bahasa inggris,Positif,Negatif
Duolingo,5,cukup baik,,Negatif,Positif
Duolingo,5,saya sangat menyukai aplikasi ini,suka aplikasi,Positif,Positif
Duolingo,5,sangat bermanfaat buat yang mau belajar bahasa,manfaat ajar bahasa,Positif,Positif
Duolingo,5,seru banget,seru banget,Positif,Positif
Duolingo,5,sangat seru jadi semangat belajar deh,seru semangat ajar,Positif,Negatif
Duolingo,5,aplikasi sungguh bagus dan saya pendapat kan limu,aplikasi sungguh bagus dapat limu,Positif,Negatif
Duolingo,5,bagus bangettt ak jadi bisa ngerjain tugas tanpa pakai bukuuðŸ‘ðŸ’ª,bagus banget ngerjain tugas pakai bukuu,Positif,Negatif
Duolingo,5,"Seru!, aplikasi ini membuat saya bisa berbahasa ChinaðŸ—¿ðŸ˜­ðŸ’€ðŸ˜",seru aplikasi bahasa china,Positif,Positif
Duolingo,5,"wow keren banget bisa belajar bahasa mendengar dan berbicara menulis, itu sa ngat keren aku harap bisa belajar bahasa Jepang dengan mudahðŸ˜Š",wow keren banget ajar bahasa dengar bicara tulis keren harap ajar bahasa jepang mudah,Positif,Negatif
Duolingo,5,bagus untuk pendidikan atau sekolah,bagus didik sekolah,Positif,Positif
Duolingo,5,bagus dan membuat cepat belajar bahasa Inggris,bagus cepat ajar bahasa inggris,Positif,Negatif
Duolingo,5,aku jadi bisa belajar bahasa asing tanpa membayar,ajar bahasa asing bayar,Negatif,Positif
Duolingo,5,bagus,bagus,Positif,Negatif
Duolingo,5,bisa membantu anda untuk belajar bahasa dan bisa mengetahui banyak hal,bantu ajar bahasa,Positif,Negatif
Duolingo,5,jadi saya sudah mulai bahasa Spanyol,bahasa spanyol,Negatif,Positif
Duolingo,5,aplikasi nya bagus banget membantu banget buat belajar bahasa,aplikasi bagus banget bantu banget ajar bahasa,Positif,Negatif
Duolingo,5,aplikasinya bagus saya bisa belajar banyak bahasa dan ada juga kursus musik dan matematika Bintang 5 lah untuk duolingo,aplikasi bagus ajar bahasa kursus musik matematika bintang,Positif,Negatif
Duolingo,5,kita bisa belajar bersama disini dengan asyik seru dan mudah memahaminyaaaa saya sangattt suka dengan aplikasi ini ayooo yang mau belajarrr disini aja,ajar asik seru mudah paham suka aplikasi ayo ajar,Positif,Negatif
Duolingo,5,mksy bantuannya duo :) lanjut setelah target pertama ak mw bljr bi arab :D,makasih bantu duo target ajar arab,Positif,Negatif
Duolingo,5,mudah di pahami,mudah paham,Positif,Negatif
Duolingo,5,duolingo menyenangkan,senang,Negatif,Positif
Duolingo,5,ini bisa untuk menglatih anak belajar,menglatih anak ajar,Negatif,Negatif
Duolingo,5,waww ini aplikasi baguss aku suka belajar disini dan seruuu,waww aplikasi bagus suka ajar seru,Positif,Negatif
