app_name,rating,review,preprocessed_text
Duolingo,5,bagus jir jadi tau enggres gwðŸ—¿,bagus tau inggris
Duolingo,5,Bagus,bagus
Duolingo,5,mantap sekarang gua bisa translator,mantap translator
Duolingo,5,aplikasinya baik sekal,aplikasi
Duolingo,5,bagus aky jadi makin pinter bahasa ingris yay,bagus pintar bahasa ingris yay
Duolingo,5,makasih dulingo aku kelas 3 SMP sudah agak bisa bahasa jepang ðŸ‘ðŸ‘ðŸ‘ðŸ˜,makasih dulingo kelas smp bahasa jepang
Duolingo,5,sangat cocok untuk belajar bahasa inggrisðŸ‘ðŸ‘,cocok ajar bahasa inggris
Duolingo,5,"keren sekalii,mudah dipahami, timaaciw duolingo",keren mudah paham makasih
Duolingo,5,baguss dan iklan nya dikit makasih duoooðŸ«¶ðŸ«¶ðŸ«¶ðŸ«¶ðŸ«¶,bagus iklan dikit makasih duooo
Duolingo,5,bagus sangat membantu saya belajar bahasa inggris,bagus bantu ajar bahasa inggris
Duolingo,5,sangat membantu pertahankanðŸ˜ðŸ˜,bantu tahan
Duolingo,5,Bagus bangett,bagus banget
Duolingo,5,menyenangkan dan mudah,senang mudah
Duolingo,5,karena aku jadi bisa bahasa inggris. n. a. n a. b.,keren bahasa inggris
Duolingo,5,bagus aplikasi nya,bagus aplikasi
Duolingo,4,"keren dan aku jadi jago bahasa, tapi tolong bisa di jadiin bahasa Indonesia gak soalnya aku pengen belajar bahasa China tapi tulisan yang di suruh nya bahasa Inggris",keren jago bahasa tolong jadi bahasa indonesia ken ajar bahasa china tulis suruh bahasa inggris
Duolingo,5,cukup baik,
Duolingo,5,saya sangat menyukai aplikasi ini,suka aplikasi
Duolingo,5,sangat bermanfaat buat yang mau belajar bahasa,manfaat ajar bahasa
Duolingo,5,seru banget,seru banget
Duolingo,5,sangat seru jadi semangat belajar deh,seru semangat ajar
Duolingo,5,aplikasi sungguh bagus dan saya pendapat kan limu,aplikasi sungguh bagus dapat limu
Duolingo,5,bagus bangettt ak jadi bisa ngerjain tugas tanpa pakai bukuuðŸ‘ðŸ’ª,bagus banget ngerjain tugas pakai bukuu
